,Preço,Bairro
0,500,Bela Vista
1,1050,Barra da Tijuca
2,1150,Vila Yara
3,880,Vila Yara
4,830,Vila Isabel
5,1100,Vila Matilde
6,850,Vila Isabel
7,500,Tatuapé
8,750,Centro
9,1200,Jardim Paulista
10,1000,Pinheiros
11,1300,Maracanã
12,1500,Bela Vista
13,750,Vila Mariana
14,1500,Vila Mariana
15,500,Bela Vista
16,1050,Barra da Tijuca
17,1150,Vila Yara
18,880,Vila Yara
19,830,Vila Isabel
20,1100,Vila Matilde
21,850,Vila Isabel
22,500,Tatuapé
23,750,Centro
24,1200,Jardim Paulista
25,1000,Pinheiros
26,1300,Maracanã
27,1500,Bela Vista
28,750,Vila Mariana
29,1500,Vila Mariana
30,500,Bela Vista
31,1050,Barra da Tijuca
32,1150,Vila Yara
33,880,Vila Yara
34,830,Vila Isabel
35,1100,Vila Matilde
36,850,Vila Isabel
37,500,Tatuapé
38,750,Centro
39,1200,Jardim Paulista
40,1000,Pinheiros
41,1300,Maracanã
42,1500,Bela Vista
43,750,Vila Mariana
44,1500,Vila Mariana
45,500,Bela Vista
46,1050,Barra da Tijuca
47,1150,Vila Yara
48,880,Vila Yara
49,830,Vila Isabel
50,1100,Vila Matilde
51,850,Vila Isabel
52,500,Tatuapé
53,750,Centro
54,1200,Jardim Paulista
55,1000,Pinheiros
56,1300,Maracanã
57,1500,Bela Vista
58,750,Vila Mariana
59,1500,Vila Mariana
60,500,Bela Vista
61,1050,Barra da Tijuca
62,1150,Vila Yara
63,880,Vila Yara
64,830,Vila Isabel
65,1100,Vila Matilde
66,850,Vila Isabel
67,500,Tatuapé
68,750,Centro
69,1200,Jardim Paulista
70,1000,Pinheiros
71,1300,Maracanã
72,1500,Bela Vista
73,750,Vila Mariana
74,1500,Vila Mariana
75,500,Bela Vista
76,1050,Barra da Tijuca
77,1150,Vila Yara
78,880,Vila Yara
79,830,Vila Isabel
80,1100,Vila Matilde
81,850,Vila Isabel
82,500,Tatuapé
83,750,Centro
84,1200,Jardim Paulista
85,1000,Pinheiros
86,1300,Maracanã
87,1500,Bela Vista
88,750,Vila Mariana
89,1500,Vila Mariana
90,500,Bela Vista
91,1050,Barra da Tijuca
92,1150,Vila Yara
93,880,Vila Yara
94,830,Vila Isabel
95,1100,Vila Matilde
96,850,Vila Isabel
97,500,Tatuapé
98,750,Centro
99,1200,Jardim Paulista
100,1000,Pinheiros
101,1300,Maracanã
102,1500,Bela Vista
103,750,Vila Mariana
104,1500,Vila Mariana
105,500,Bela Vista
106,1050,Barra da Tijuca
107,1150,Vila Yara
108,880,Vila Yara
109,830,Vila Isabel
110,1100,Vila Matilde
111,850,Vila Isabel
112,500,Tatuapé
113,750,Centro
114,1200,Jardim Paulista
115,1000,Pinheiros
116,1300,Maracanã
117,1500,Bela Vista
118,750,Vila Mariana
119,1500,Vila Mariana
