Data	Último	Abertura	Máxima	Mínima	Vol.	Var%	MÊS
jan/00	105,13	101,67	105,28	99,71	-	3,20%	1
fev/00	105,92	104,98	106,86	102,92	-	0,75%	2
mar/00	105,44	106,22	106,61	104,48	-	-0,45%	3
abr/00	110,14	105,61	110,32	104,23	-	4,46%	4
mai/00	108,74	109,9	112,86	108,18	-	-1,27%	5
jun/00	106,84	108,65	109,42	105,56	-	-1,75%	6
jul/00	109,57	106,82	109,92	106,7	-	2,56%	7
ago/00	112,6	109,5	112,93	109,35	-	2,77%	8
set/00	113,25	112,36	116,75	111,25	-	0,58%	9
out/00	116,65	113,14	119,07	112,95	-	3,00%	10
nov/00	115,24	116,6	118,69	112,75	-	-1,21%	11
dez/00	109,56	115,21	115,44	109,46	-	-4,93%	12
jan/01	110,52	109,33	112,65	108,09	-	0,88%	1
fev/01	112,01	110,3	113,62	109,4	-	1,35%	2
mar/01	117,37	112,04	117,63	110,82	-	4,79%	3
abr/01	115,85	117,7	117,82	113,86	-	-1,30%	4
mai/01	119,07	115,71	119,29	114,27	-	2,78%	5
jun/01	119,43	119,11	120,33	117,43	-	0,30%	6
jul/01	117,18	119,39	121,02	116,34	-	-1,88%	7
ago/01	113,42	117,07	117,16	112,32	-	-3,21%	8
set/01	113,48	113,48	116,08	111,31	-	0,05%	9
out/01	114,86	113,69	116,27	112,27	-	1,22%	10
nov/01	116,13	114,71	117,43	113,66	-	1,11%	11
dez/01	116,75	115,61	118,26	114,43	-	0,53%	12
jan/02	120,24	116,4	120,51	115,54	-	2,99%	1
fev/02	119,16	120,21	120,4	118,09	-	-0,90%	2
mar/02	118,62	119,29	119,61	116,76	-	-0,45%	3
abr/02	115,19	118,56	118,7	114,72	-	-2,89%	4
mai/02	111,81	115,18	115,34	110,88	-	-2,93%	5
jun/02	106,11	111,93	112,04	105,37	-	-5,10%	6
jul/02	107,41	105,76	107,88	103,54	-	1,23%	7
ago/02	106,98	107,61	109	106,18	-	-0,40%	8
set/02	106,87	106,43	109,67	105,41	-	-0,10%	9
out/02	106,64	106,74	108,74	106,54	-	-0,22%	10
nov/02	106,41	106,55	106,97	104,12	-	-0,22%	11
dez/02	101,85	106,57	107,31	101,82	-	-4,29%	12
jan/03	99,91	102,36	103,2	98,76	-	-1,90%	1
fev/03	99,71	100,26	100,89	98,65	-	-0,20%	2
mar/03	99,06	99,74	102,15	97,57	-	-0,65%	3
abr/03	97,19	98,86	101,81	97,1	-	-1,89%	4
mai/03	93,27	97,18	97,25	92,21	-	-4,03%	5
jun/03	94,73	93,73	95,34	91,88	-	1,57%	6
jul/03	96,89	94,54	97,45	93,96	-	2,28%	7
ago/03	98,1	96,87	99,49	95,56	-	1,25%	8
set/03	92,85	97,88	99,37	92,1	-	-5,35%	9
out/03	92,73	92,73	93,42	91,01	-	-0,13%	10
nov/03	90,21	92,64	94,13	90,04	-	-2,72%	11
dez/03	86,92	90,16	90,54	86,36	-	-3,65%	12
jan/04	87,2	86,79	88,07	84,8	-	0,32%	1
fev/04	87,31	87,14	88,02	84,56	-	0,13%	2
mar/04	87,61	87,1	89,84	87,03	-	0,34%	3
abr/04	90,48	87,57	91,56	87,02	-	3,28%	4
