,date,state,cases,deaths
0,25.01.20,California,1,0
1,26.01.20,California,1,0
2,27.01.20,California,0,0
3,28.01.20,California,0,0
4,29.01.20,California,0,0
5,30.01.20,California,0,0
6,31.01.20,California,1,0
7,01.02.20,California,0,0
8,02.02.20,California,3,0
9,03.02.20,California,0,0
10,04.02.20,California,0,0
11,05.02.20,California,0,0
12,06.02.20,California,0,0
13,07.02.20,California,0,0
14,08.02.20,California,0,0
15,09.02.20,California,0,0
16,10.02.20,California,1,0
17,11.02.20,California,0,0
18,12.02.20,California,0,0
19,13.02.20,California,0,0
20,14.02.20,California,0,0
21,15.02.20,California,0,0
22,16.02.20,California,0,0
23,17.02.20,California,0,0
24,18.02.20,California,0,0
25,19.02.20,California,0,0
26,20.02.20,California,1,0
27,21.02.20,California,1,0
28,22.02.20,California,0,0
29,23.02.20,California,0,0
30,24.02.20,California,2,0
31,25.02.20,California,0,0
32,26.02.20,California,15,0
33,27.02.20,California,0,0
34,28.02.20,California,1,0
35,29.02.20,California,1,0
36,01.03.20,California,5,0
37,02.03.20,California,5,0
38,03.03.20,California,7,0
39,04.03.20,California,10,1
40,05.03.20,California,12,0
41,06.03.20,California,14,0
42,07.03.20,California,19,0
43,08.03.20,California,12,0
44,09.03.20,California,60,1
45,10.03.20,California,7,1
46,11.03.20,California,23,1
47,12.03.20,California,50,0
48,13.03.20,California,68,1
49,14.03.20,California,61,0
50,15.03.20,California,97,1
51,16.03.20,California,110,5
52,17.03.20,California,144,3
53,18.03.20,California,161,3
54,19.03.20,California,174,2
55,20.03.20,California,216,5
56,21.03.20,California,261,4
57,22.03.20,California,307,7
58,23.03.20,California,389,4
59,24.03.20,California,404,13
60,25.03.20,California,539,16
61,26.03.20,California,877,15
62,27.03.20,California,855,21
63,28.03.20,California,651,18
64,29.03.20,California,755,10
65,30.03.20,California,1100,15
66,31.03.20,California,1162,37
67,01.04.20,California,1274,28
68,02.04.20,California,1333,35
69,03.04.20,California,1379,35
70,04.04.20,California,1227,41
71,05.04.20,California,1406,28
72,06.04.20,California,1159,35
73,07.04.20,California,1179,61
74,08.04.20,California,1503,59
75,09.04.20,California,1148,42
76,10.04.20,California,1175,46
77,11.04.20,California,1055,38
78,12.04.20,California,902,44
79,13.04.20,California,1011,49
80,14.04.20,California,1424,53
81,15.04.20,California,1349,107
